Measure,Sensor,tu,ts,d,acy
3,74,1350000000000,1402496017177,0.9108494,0
3,157,1350250000000,1402496017401,1.2147479,0
3,74,1350250000000,1402496017451,0.9108494,0
3,157,1350500000000,1402496017653,1.2147479,0
3,74,1350500000000,1402496017699,0.9108494,0
3,157,1350750000000,1402496017901,1.2147479,0
3,74,1350750000000,1402496017949,0.9108494,0
3,157,1351000000000,1402496018152,1.2147479,0
3,74,1351000000000,1402496018194,0.9108494,0
3,157,1351250000000,1402496018402,1.2147479,0
3,74,1351250000000,1402496018447,0.9108494,0
3,157,1352000000000,1402496018650,1.2147479,0
3,74,1352000000000,1402496018690,0.9108494,0
3,157,1352250000000,1402496018907,1.2147479,0
3,74,1352250000000,1402496018957,0.9108494,0
3,157,1352500000000,1402496019152,1.2147479,0
3,74,1352500000000,1402496019205,0.9108494,0
3,157,1352750000000,1402496019397,1.1974279,0
3,74,1352750000000,1402496019433,0.9108494,0
3,157,1353000000000,1402496019655,1.1974279,0
3,74,1353000000000,1402496019700,0.9108494,0
3,157,1353250000000,1402496019900,1.1974279,0
3,74,1353250000000,1402496019945,0.9108494,0
3,157,1354000000000,1402496020150,1.1974279,0
3,74,1354000000000,1402496020198,0.9108494,0
3,157,1354250000000,1402496020398,1.1974279,0
3,74,1354250000000,1402496020446,0.90820307,0
3,157,1354500000000,1402496020650,1.1974279,0
3,74,1354500000000,1402496020694,0.90820307,0
3,157,1354750000000,1402496020902,1.1974279,0
3,74,1354750000000,1402496020940,0.90820307,0
3,157,1355000000000,1402496021152,1.1974279,0
3,74,1355000000000,1402496021195,0.8976694,0
3,157,1355250000000,1402496021403,1.1359085,0
3,74,1355250000000,1402496021458,0.8448673,0
3,157,1356000000000,1402496021651,1.0719588,0
3,74,1356000000000,1402496021706,0.8448673,0
3,157,1356250000000,1402496021907,1.0719588,0
3,74,1356250000000,1402496021948,0.8448673,0
3,157,1356500000000,1402496022153,1.0719588,0
3,74,1356500000000,1402496022203,0.80403847,0
3,157,1356750000000,1402496022404,1.0719588,0
3,74,1356750000000,1402496022447,0.7580299,0
3,157,1357000000000,1402496022649,1.0546657,0
3,74,1357000000000,1402496022696,0.69275033,0
3,157,1357250000000,1402496022899,1.0060277,0
3,74,1357250000000,1402496022945,0.69275033,0
3,157,1358000000000,1402496023151,1.0060277,0
3,74,1358000000000,1402496023190,0.69275033,0
3,157,1358250000000,1402496023402,1.0060277,0
3,74,1358250000000,1402496023439,0.69275033,0
3,157,1358500000000,1402496023660,1.1459078,0
3,74,1358500000000,1402496023707,0.69275033,0
3,157,1358750000000,1402496023900,1.1459078,0
3,74,1358750000000,1402496023933,0.69275033,0
3,157,1359000000000,1402496024151,1.1459078,0
3,74,1359000000000,1402496024207,0.69275033,0
3,157,1359250000000,1402496024405,1.1459078,0
3,74,1359250000000,1402496024451,0.69275033,0
3,157,1360000000000,1402496024655,1.1459078,0
3,74,1360000000000,1402496024697,0.69275033,0
3,157,1360250000000,1402496024901,1.0360863,0
3,74,1360250000000,1402496024950,0.69275033,0
3,157,1360500000000,1402496025152,0.9758537,0
3,74,1360500000000,1402496025197,0.69275033,0
3,157,1360750000000,1402496025404,0.9758537,0
3,74,1360750000000,1402496025444,0.69275033,0
3,157,1361000000000,1402496025653,0.9758537,0
3,74,1361000000000,1402496025693,0.69275033,0
3,157,1361250000000,1402496025899,0.9758537,0
3,74,1361250000000,1402496025941,0.69275033,0
3,157,1362000000000,1402496026149,0.9758537,0
3,74,1362000000000,1402496026188,0.69275033,0
3,157,1362250000000,1402496026401,0.9758537,0
3,74,1362250000000,1402496026459,0.69275033,0
3,157,1362500000000,1402496026655,0.9758537,0
3,74,1362500000000,1402496026704,0.69275033,0
3,157,1362750000000,1402496026901,0.9758537,0
3,74,1362750000000,1402496026946,0.69275033,0
3,157,1363000000000,1402496027167,0.9758537,0
3,74,1363000000000,1402496027220,0.69275033,0
3,157,1363250000000,1402496027401,0.9758537,0
3,74,1363250000000,1402496027448,0.69275033,0
3,157,1364000000000,1402496027660,0.9758537,0
3,74,1364000000000,1402496027691,0.69275033,0
3,157,1364250000000,1402496027905,0.9758537,0
3,74,1364250000000,1402496027971,0.69275033,0
3,157,1364500000000,1402496028151,0.9758537,0
3,74,1364500000000,1402496028204,0.69275033,0
